"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2012","Age","13-17 Years","18.6","12.3 to 27.2","173"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2021","Age","13-17 Years","97.9","94.7 to 99.1","174"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2020","Age","13-17 Years","97.0","93.8 to 98.6","368"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2019","Age","13-17 Years","95.5","91.1 to 97.8","292"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2018","Age","13-17 Years","96.2","92.8 to 98.1","256"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2021","Age","13-17 Years","94.9","89.7 to 97.5","174"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2016","Age","13-17 Years","68.3","58.2 to 76.9","130"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2017","Age","13-17 Years","74.7","66.9 to 81.2","175"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2018","Age","13-17 Years","82.9","73.6 to 89.4","132"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2022","Age","13-17 Years","95.8","91.7 to 97.9","280"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2021","Age","13-17 Years","93.1","87.0 to 96.4","191"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2020","Age","13-17 Years","94.6","91.6 to 96.6","401"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2017","Age","13-17 Years","96.0","92.5 to 97.9","321"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2020","Age","13-17 Years","98.8","96.6 to 99.6","368"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2018","Age","13-17 Years","98.1","95.4 to 99.2","256"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2019","Age","13-17 Years","96.1","91.6 to 98.2","292"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2019","Age","13-17 Years","94.3","89.8 to 96.9","319"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2017","Age","13-17 Years","92.1","88.2 to 94.8","379"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2018","Age","13-17 Years","97.5","94.1 to 98.9","287"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2018","Age","13-17 Years","70.7","60.9 to 78.9","155"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2019","Age","13-17 Years","89.5","82.6 to 93.8","167"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2015","Age","13-17 Years","70.5","61.8 to 78.0","159"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2014","Age","13-17 Years","60.9","51.2 to 69.8","168"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2021","Age","13-17 Years","87.5","77.7 to 93.3","104"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2020","Age","13-17 Years","76.9","68.4 to 83.7","203"
"≥2 Doses Hep A","","States/Local Areas","North Dakota","2020","Age","13-17 Years","88.7","83.7 to 92.3","401"
"≥2 Doses Hep A","","States/Local Areas","North Dakota","2022","Age","13-17 Years","94.5","89.2 to 97.3","280"
"HPV","≥3 Doses, Males","States/Local Areas","North Dakota","2014","Age","13-17 Years","25.3","18.3 to 33.9","159"
"HPV","≥3 Doses, Males","States/Local Areas","North Dakota","2015","Age","13-17 Years","38.4","30.3 to 47.3","164"
"HPV","≥3 Doses, Males","States/Local Areas","North Dakota","2013","Age","13-17 Years","18.4","12.1 to 27.1","176"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2018","Age","13-15 Years","96.0","91.0 to 98.2","157"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2018","Age","13-17 Years","96.7","93.6 to 98.3","287"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2008","Age","13-17 Years","76.8","71.5 to 81.3","362"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2021","Age","13-17 Years","95.2","90.4 to 97.7","191"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2020","Age","13-17 Years","97.2","94.3 to 98.7","401"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2015","Age","13-17 Years","92.6","88.0 to 95.5","323"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2016","Age","13-17 Years","93.4","88.7 to 96.2","293"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2017","Age","13-17 Years","93.5","90.2 to 95.8","379"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2014","Age","13-15 Years","41.4","29.7 to 54.1","100"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2015","Age","13-15 Years","43.7","32.4 to 55.8","90"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2013","Age","13-15 Years","38.5","28.0 to 50.3","107"
"HPV","≥3 Doses, Males","States/Local Areas","North Dakota","2014","Age","13-15 Years","18.1","11.1 to 28.0","95"
"HPV","≥3 Doses, Males","States/Local Areas","North Dakota","2015","Age","13-15 Years","45.5","34.2 to 57.2","96"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2013","Age","13-17 Years","41.1","32.3 to 50.4","168"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2014","Age","13-17 Years","41.7","32.7 to 51.3","168"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2011","Age","13-17 Years","27.8","18.7 to 39.2","142"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2012","Age","13-17 Years","40.9","31.7 to 50.7","151"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2010","Age","13-17 Years","26.3","19.8 to 34.0","159"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2009","Age","13-17 Years","31.7","23.6 to 41.1","133"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2008","Age","13-17 Years","15.9","10.8 to 22.8","177"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2012","Age","13-15 Years","40.1","29.0 to 52.3","95"
"HPV","≥3 Doses, Females","States/Local Areas","North Dakota","2015","Age","13-17 Years","47.1","38.1 to 56.2","159"
"≥2 Doses Hep A","","States/Local Areas","North Dakota","2021","Age","13-17 Years","96.9","93.9 to 98.4","191"
"HPV","≥3 Doses, Males","States/Local Areas","North Dakota","2013","Age","13-15 Years","26.3","16.9 to 38.6","106"
"≥2 Doses Hep A","","States/Local Areas","Illinois","2024","Age","13-17 Years","83.5","79.9 to 86.6","669"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Illinois","2024","Age","13-17 Years","66.2","61.8 to 70.4","669"
"HPV","Up-to-Date, Males","States/Local Areas","Illinois","2024","Age","13-17 Years","68.5","62.4 to 74.1","347"
"HPV","Up-to-Date, Females","States/Local Areas","Illinois","2024","Age","13-17 Years","63.8","57.3 to 69.9","322"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Illinois","2024","Age","13-17 Years","93.7","91.1 to 95.6","669"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2012","Age","13-15 Years","22.2","14.7 to 32.0","203"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2011","Age","13-15 Years","23.2","16.7 to 31.2","253"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2010","Age","13-15 Years","22.0","15.9 to 29.6","236"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2009","Age","13-15 Years","19.5","13.4 to 27.6","210"
"≥2 Doses MMR","","States/Local Areas","Illinois","2021","Age","13-17 Years","96.0","93.6 to 97.5","578"
"≥2 Doses MMR","","States/Local Areas","Illinois","2022","Age","13-17 Years","93.0","89.4 to 95.4","630"
"HPV","≥1 Dose, Males","States/Local Areas","Illinois","2023","Age","13-17 Years","76.9","70.6 to 82.2","348"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2018-2022","Overall","Overall","92.7","91.5 to 93.8","3230"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Illinois","2018-2022","Overall","Overall","91.3","90.0 to 92.6","3230"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2014","Age","13-15 Years","44.0","35.6 to 52.8","225"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2015","Age","13-15 Years","37.8","30.8 to 45.3","261"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2015","Age","13-17 Years","40.2","34.4 to 46.4","401"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2013","Age","13-17 Years","33.8","27.0 to 41.3","268"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2014","Age","13-17 Years","47.7","40.8 to 54.6","349"
"HPV","≥3 Doses, Females","States/Local Areas","Illinois","2012","Age","13-17 Years","21.1","15.4 to 28.1","308"
"HPV","Up-to-Date, Females","States/Local Areas","Illinois","2023","Age","13-17 Years","74.3","67.9 to 79.8","316"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Illinois","2023","Age","13-15 Years","89.1","84.6 to 92.5","374"
"HPV","Up-to-Date, Females","States/Local Areas","Illinois","2023","Age","13-15 Years","67.2","58.7 to 74.8","199"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Illinois","2023","Age","13-15 Years","63.0","56.8 to 68.9","391"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2023","Age","13-15 Years","92.1","88.4 to 94.7","391"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Illinois","2023","Age","13-15 Years","92.9","89.5 to 95.3","391"
"HPV","Up-to-Date, Males","States/Local Areas","Illinois","2023","Age","13-15 Years","58.8","49.7 to 67.3","192"
"≥2 Doses Hep A","","States/Local Areas","Illinois","2023","Age","13-17 Years","80.2","76.0 to 83.8","664"
"≥3 Doses HepB","","States/Local Areas","Illinois","2023","Age","13-17 Years","92.2","89.6 to 94.2","664"
"Varicella","History of disease","States/Local Areas","Illinois","2023","Age","13-17 Years","6.2","4.2 to 9.1","664"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Illinois","2023","Age","13-17 Years","89.7","86.6 to 92.2","627"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Illinois","2023","Age","13-17 Years","95.2","93.0 to 96.7","627"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Illinois","2023","Age","13-17 Years","90.4","87.4 to 92.7","664"
"≥2 Doses MMR","","States/Local Areas","Illinois","2023","Age","13-17 Years","92.4","89.8 to 94.3","664"
"HPV","Up-to-Date, Males","States/Local Areas","Illinois","2023","Age","13-17 Years","64.2","57.5 to 70.3","348"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Illinois","2023","Age","13-17 Years","69.1","64.5 to 73.4","664"
"HPV","≥1 Dose, Females","States/Local Areas","Illinois","2023","Age","13-17 Years","84.5","79.0 to 88.7","316"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Illinois","2023","Age","13-17 Years","80.6","76.5 to 84.2","664"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2023","Age","13-17 Years","92.8","90.3 to 94.7","664"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Illinois","2023","Age","13-17 Years","92.5","89.8 to 94.5","664"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Illinois","2023","Age","13-17 Years","92.9","90.2 to 94.9","664"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2016","Age","13-17 Years","83.9","79.9 to 87.3","605"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2015","Age","13-17 Years","79.0","75.0 to 82.5","779"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2017","Age","13-17 Years","89.2","85.9 to 91.8","683"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Illinois","2012","Age","13-17 Years","15.5","11.5 to 20.5","632"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Illinois","2011","Age","13-17 Years","17.3","13.2 to 22.4","848"
"≥2 Doses MMR","","States/Local Areas","Illinois","2013","Age","13-17 Years","93.5","90.5 to 95.6","558"
"≥2 Doses MMR","","States/Local Areas","Illinois","2012","Age","13-17 Years","87.8","82.4 to 91.7","632"
"≥2 Doses MMR","","States/Local Areas","Illinois","2015","Age","13-17 Years","89.9","86.8 to 92.3","779"
"≥2 Doses MMR","","States/Local Areas","Illinois","2014","Age","13-17 Years","93.1","90.2 to 95.1","709"
"≥2 Doses MMR","","States/Local Areas","Illinois","2016","Age","13-17 Years","93.5","90.8 to 95.4","605"
"≥2 Doses MMR","","States/Local Areas","Illinois","2017","Age","13-17 Years","93.1","90.6 to 95.0","683"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2022","Age","13-17 Years","93.9","90.7 to 96.0","630"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2020","Age","13-17 Years","92.5","89.5 to 94.6","699"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2021","Age","13-17 Years","94.7","92.0 to 96.5","578"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2018","Age","13-17 Years","91.5","88.8 to 93.6","721"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2019","Age","13-17 Years","91.0","87.7 to 93.5","602"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Illinois","2015","Age","13-17 Years","33.4","29.4 to 37.7","779"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Illinois","2014","Age","13-17 Years","34.9","30.4 to 39.7","709"
"≥2 Doses MMR","","States/Local Areas","Illinois","2018","Age","13-17 Years","94.6","92.4 to 96.3","721"
"≥2 Doses MMR","","States/Local Areas","Illinois","2019","Age","13-17 Years","95.3","92.6 to 97.0","602"
"≥2 Doses MMR","","States/Local Areas","Illinois","2020","Age","13-17 Years","93.3","90.5 to 95.3","699"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Illinois","2013","Age","13-17 Years","25.0","20.4 to 30.1","558"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Illinois","2020","Age","13-17 Years","91.4","88.2 to 93.8","699"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Illinois","2021","Age","13-17 Years","89.5","85.7 to 92.4","578"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Illinois","2022","Age","13-17 Years","93.6","90.3 to 95.9","630"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2013","Age","13-17 Years","79.0","74.2 to 83.2","558"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2014","Age","13-17 Years","77.1","72.6 to 81.0","709"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Illinois","2018-2022","Overall","Overall","59.9","57.6 to 62.1","3230"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Illinois","2018-2022","Overall","Overall","74.8","72.7 to 76.7","3230"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a MSA Principal City","79.1","75.8 to 82.1","1398"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a MSA Non-Principal City","74.6","71.9 to 77.2","1608"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a Non-MSA","60.0","52.1 to 67.5","224"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a MSA Principal City","65.5","61.9 to 68.9","1398"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a MSA Non-Principal City","59.4","56.3 to 62.4","1608"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a Non-MSA","42.7","34.8 to 51.0","224"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a MSA Principal City","92.2","90.0 to 93.9","1398"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a MSA Non-Principal City","93.5","91.9 to 94.8","1608"
"≥1 Dose MenACWY","","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a Non-MSA","89.0","83.1 to 93.0","224"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Illinois","2018-2022","Race and Ethnicity","White, Non-Hispanic","57.0","53.8 to 60.1","1636"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a Non-MSA","95.1","90.9 to 97.4","224"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a MSA Non-Principal City","90.9","88.9 to 92.5","1608"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Illinois","2018-2022","Urbanicity","Living In a MSA Principal City","91.3","89.1 to 93.2","1398"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Illinois","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","79.1","72.5 to 84.5","340"
